epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1113.56,0.24087,0.47803,0.83585,0.7732,0.98521,0.91366,0.91093,0.1637,0.40917,0.76129,2.06166e-05,2.06166e-05,2.06166e-05
40,1142.31,0.231,0.48034,0.82967,0.75559,0.99351,0.9121,0.9096,0.16519,0.40537,0.76082,2.01803e-05,2.01803e-05,2.01803e-05
41,1170.96,0.23083,0.47339,0.83634,0.78028,0.99095,0.91016,0.90735,0.17138,0.40746,0.7637,1.97389e-05,1.97389e-05,1.97389e-05
42,1200.44,0.22721,0.45936,0.82814,0.78795,0.98624,0.91354,0.91157,0.15827,0.40265,0.75981,1.9293e-05,1.9293e-05,1.9293e-05
43,1229.6,0.23504,0.4732,0.83458,0.8033,0.97412,0.91133,0.90882,0.16173,0.39256,0.76047,1.8843e-05,1.8843e-05,1.8843e-05
44,1258.34,0.22669,0.47386,0.83214,0.79217,0.98296,0.92263,0.91938,0.15965,0.40544,0.76116,1.83894e-05,1.83894e-05,1.83894e-05
45,1287.15,0.22465,0.46313,0.82969,0.80024,0.9729,0.91979,0.91749,0.15672,0.39737,0.75954,1.79326e-05,1.79326e-05,1.79326e-05
46,1316.02,0.22519,0.46757,0.82833,0.77929,0.99488,0.91619,0.91351,0.15769,0.39802,0.76033,1.74731e-05,1.74731e-05,1.74731e-05
47,1344.56,0.21922,0.44816,0.82936,0.78832,0.98405,0.92202,0.92006,0.15268,0.38024,0.75834,1.70112e-05,1.70112e-05,1.70112e-05
48,1373.14,0.22474,0.45959,0.8293,0.80588,0.97882,0.92474,0.92214,0.15513,0.39008,0.75939,1.65475e-05,1.65475e-05,1.65475e-05
49,1401.82,0.22324,0.45352,0.83329,0.79781,0.96726,0.92545,0.92354,0.1602,0.38537,0.75972,1.60824e-05,1.60824e-05,1.60824e-05
50,1431.01,0.22334,0.44017,0.8278,0.78332,0.98238,0.92561,0.92338,0.15985,0.38341,0.76006,1.56164e-05,1.56164e-05,1.56164e-05
51,1459.96,0.21483,0.44166,0.82972,0.81142,0.97193,0.92201,0.92053,0.15584,0.37634,0.75965,1.515e-05,1.515e-05,1.515e-05
52,1488.99,0.21814,0.44381,0.8298,0.79383,0.98067,0.92056,0.91854,0.15624,0.38547,0.76003,1.46836e-05,1.46836e-05,1.46836e-05
53,1518.17,0.21347,0.44624,0.82546,0.79499,0.98375,0.92294,0.92141,0.15147,0.38825,0.75826,1.42176e-05,1.42176e-05,1.42176e-05
54,1547.13,0.21126,0.44785,0.82703,0.80582,0.96323,0.92271,0.92081,0.14978,0.37831,0.7579,1.37525e-05,1.37525e-05,1.37525e-05
55,1575.44,0.21532,0.42653,0.8268,0.8018,0.9874,0.92581,0.92391,0.14994,0.37452,0.75796,1.32888e-05,1.32888e-05,1.32888e-05
56,1603.75,0.21331,0.43596,0.82514,0.81725,0.95647,0.92809,0.92662,0.14834,0.37458,0.75752,1.28269e-05,1.28269e-05,1.28269e-05
57,1633.15,0.21207,0.43446,0.82801,0.79492,0.97862,0.9297,0.92761,0.15313,0.37749,0.75902,1.23674e-05,1.23674e-05,1.23674e-05
58,1662.14,0.20823,0.43109,0.82546,0.80208,0.97731,0.93499,0.93336,0.15023,0.36622,0.75863,1.19106e-05,1.19106e-05,1.19106e-05
59,1691.04,0.20936,0.43944,0.82825,0.79579,0.97379,0.93051,0.92935,0.14302,0.36533,0.75698,1.1457e-05,1.1457e-05,1.1457e-05
60,1719.51,0.20499,0.43645,0.82277,0.80439,0.98342,0.92935,0.9279,0.14765,0.36487,0.75769,1.1007e-05,1.1007e-05,1.1007e-05
61,1748.04,0.20739,0.42359,0.82753,0.80776,0.97777,0.93659,0.93536,0.14965,0.37503,0.75826,1.05611e-05,1.05611e-05,1.05611e-05
62,1776.6,0.20537,0.42058,0.82287,0.81039,0.98876,0.93378,0.93274,0.14601,0.37,0.75697,1.01197e-05,1.01197e-05,1.01197e-05
63,1804.77,0.20431,0.42708,0.82386,0.80852,0.97641,0.93038,0.92929,0.14531,0.37082,0.75739,9.68335e-06,9.68335e-06,9.68335e-06
64,1832.98,0.20423,0.41704,0.82386,0.81775,0.97277,0.92892,0.92774,0.14261,0.36072,0.75643,9.25235e-06,9.25235e-06,9.25235e-06
65,1861.08,0.2047,0.41891,0.82224,0.8079,0.97724,0.92495,0.92386,0.14119,0.36316,0.75689,8.82718e-06,8.82718e-06,8.82718e-06
66,1889.05,0.20235,0.40278,0.82358,0.80863,0.98169,0.93326,0.93262,0.13839,0.35648,0.75571,8.40824e-06,8.40824e-06,8.40824e-06
67,1917.08,0.19828,0.40173,0.82223,0.81473,0.97362,0.93685,0.93626,0.14119,0.35793,0.75585,7.99596e-06,7.99596e-06,7.99596e-06
68,1945.18,0.19886,0.41298,0.82316,0.81157,0.9761,0.93646,0.9356,0.14194,0.35707,0.75607,7.59073e-06,7.59073e-06,7.59073e-06
69,1973.42,0.20362,0.41338,0.82802,0.80149,0.98161,0.93206,0.93107,0.14346,0.35828,0.75623,7.19297e-06,7.19297e-06,7.19297e-06
70,2001.67,0.19523,0.40413,0.82032,0.8219,0.96595,0.93403,0.93307,0.14413,0.35582,0.75664,6.80306e-06,6.80306e-06,6.80306e-06
71,2029.87,0.19388,0.39959,0.82291,0.80034,0.98087,0.93772,0.93702,0.13695,0.35316,0.7555,6.42139e-06,6.42139e-06,6.42139e-06
72,2058.36,0.19752,0.39674,0.82053,0.83036,0.96611,0.9351,0.93438,0.13756,0.35225,0.75551,6.04833e-06,6.04833e-06,6.04833e-06
73,2087.2,0.20162,0.40644,0.82826,0.818,0.97653,0.93509,0.93436,0.13808,0.34543,0.75513,5.68425e-06,5.68425e-06,5.68425e-06
74,2116.22,0.19466,0.40554,0.82253,0.81745,0.97056,0.94027,0.93959,0.13623,0.34835,0.75495,5.32952e-06,5.32952e-06,5.32952e-06
75,2145.22,0.19595,0.38748,0.82527,0.82548,0.96841,0.93997,0.93934,0.13829,0.34913,0.75555,4.98448e-06,4.98448e-06,4.98448e-06
76,2173.95,0.19244,0.39883,0.81901,0.83571,0.95967,0.9419,0.94099,0.13561,0.34181,0.75528,4.64946e-06,4.64946e-06,4.64946e-06
77,2202.86,0.19099,0.40238,0.82042,0.83171,0.96588,0.93902,0.93835,0.13703,0.34219,0.75508,4.32482e-06,4.32482e-06,4.32482e-06
78,2232.28,0.19315,0.38362,0.82103,0.82504,0.97289,0.93957,0.93886,0.13407,0.34504,0.75493,4.01085e-06,4.01085e-06,4.01085e-06
